WAST,Sx,DP,Dta,Dts,EV,QNH,QFE,QFF,RF,RH,S,SR,T,ST1,ST2,ST3,ST4
1/03/2015 9:00,12,10.8,111,20,0.1,1011.3,1007.7,1011.1,0,47.2,7,594,22.68,28.1,28.8,29.3,28.5
1/03/2015 9:10,9,10.3,130,24,0.1,1011.1,1007.5,1010.9,0,45.1,7,636,22.9,28,28.7,29.3,28.5
1/03/2015 9:20,11,10,133,20,0.1,1011.1,1007.5,1010.9,0,42.5,7,679,23.57,28,28.7,29.3,28.5
1/03/2015 9:30,10,10.2,122,20,0.1,1011,1007.4,1010.8,0,41.7,7,715,24.09,28,28.7,29.3,28.5
1/03/2015 9:40,11,10.8,115,16,0.1,1011,1007.4,1010.8,0,41.4,7,730,24.81,27.9,28.7,29.3,28.5
1/03/2015 9:50,10,10.4,96,21,0.1,1011.1,1007.5,1010.9,0,37.4,7,756,26.09,27.9,28.6,29.2,28.5
1/03/2015 10:00,10,10.4,93,19,0.2,1011.1,1007.5,1010.9,0,37.4,6,779,26.13,27.9,28.6,29.3,28.5
1/03/2015 10:10,9,9.8,93,17,0.1,1011.1,1007.5,1010.9,0,34.8,6,824,26.61,27.9,28.6,29.2,28.5
1/03/2015 10:20,9,9.8,86,23,0.1,1011,1007.4,1010.8,0,33.5,6,843,27.27,27.9,28.5,29.2,28.5
1/03/2015 10:30,6,9.9,105,44,0.2,1011,1007.4,1010.8,0,32.2,6,859,28.09,27.9,28.5,29.2,28.5
1/03/2015 10:40,7,9.8,91,30,0.1,1011,1007.4,1010.8,0,32.1,6,993,28.14,27.9,28.5,29.2,28.5
1/03/2015 10:50,7,9.2,91,23,0.2,1011,1007.4,1010.8,0,30.7,6,925,28.11,27.9,28.5,29.2,28.5
2/03/2015 9:00,12,10.8,111,20,0.1,1011.3,1007.7,1011.1,0,47.2,7,594,22.68,28.1,28.8,29.3,28.5
2/03/2015 9:10,9,10.3,130,24,0.1,1011.1,1007.5,1010.9,0,45.1,7,636,22.9,28,28.7,29.3,28.5
2/03/2015 9:20,11,10,133,20,0.1,1011.1,1007.5,1010.9,0,42.5,7,679,23.57,28,28.7,29.3,28.5
2/03/2015 9:30,10,10.2,122,20,0.1,1011,1007.4,1010.8,0,41.7,7,715,24.09,28,28.7,29.3,28.5
2/03/2015 9:40,11,10.8,115,16,0.1,1011,1007.4,1010.8,0,41.4,7,730,24.81,27.9,28.7,29.3,28.5
2/03/2015 9:50,10,10.4,96,21,0.1,1011.1,1007.5,1010.9,0,37.4,7,756,26.09,27.9,28.6,29.2,28.5
2/03/2015 10:00,10,10.4,93,19,0.2,1011.1,1007.5,1010.9,0,37.4,6,779,26.13,27.9,28.6,29.3,28.5
2/03/2015 10:10,9,9.8,93,17,0.1,1011.1,1007.5,1010.9,0,34.8,6,824,26.61,27.9,28.6,29.2,28.5
2/03/2015 10:20,9,9.8,86,23,0.1,1011,1007.4,1010.8,0,33.5,6,843,27.27,27.9,28.5,29.2,28.5
2/03/2015 10:30,6,9.9,105,44,0.2,1011,1007.4,1010.8,0,32.2,6,859,28.09,27.9,28.5,29.2,28.5
2/03/2015 10:40,7,9.8,91,30,0.1,1011,1007.4,1010.8,0,32.1,6,993,28.14,27.9,28.5,29.2,28.5
2/03/2015 10:50,7,9.2,91,23,0.2,1011,1007.4,1010.8,0,30.7,6,925,28.11,27.9,28.5,29.2,28.5
